input,Label
"We observe that researchers often base their decisions on methodological or theoretical concerns, but subject to constraints arising from the data, expertise, or perceived interpretability.",Scientific Claim
"We confirm that researchers may experiment with choices in search of desirable results, but also identify other reasons why researchers explore alternatives yet omit findings.",Scientific Claim
Failing to constrain this freedom – experimenting with alternative analytic paths and selectively reporting findings – inflates the chance of false discovery.,Scientific Claim
"To visualize provenance relationships, prior work predominantly uses network diagrams.",Not a Scientific Claim
"One perspective is that flexibility is unavoidable, as well-intentioned experts may produce divergent outcomes.",Not a Scientific Claim
"This variation is not explained by prior beliefs, expertise, or peer-reviewed quality of the analysis.",Scientific Claim
"Others have adopted multiverse analysis in practice, cited it as an important area for future tool work, designed interactive media for multi-verse results, and proposed ways to quantify multiple analysis findings.",Not a Scientific Claim
"Prior work on computational reproducibility concerns scientific workflows – process networks of analytic steps, that model a data analysis pipeline.",Not a Scientific Claim
"Existing multiverse visualizations typically use animation, juxtaposition, or aggregation to convey analysis outcomes; some visualize the decision space in a matrix view.",Not a Scientific Claim
"Fixating on a single analytic path may be less conclusive, with results dependent on arbitrary choices.",Scientific Claim
"The effect remained 2 months later, generalized across a wide range of conspiracy theories, and occurred even among participants with deeply entrenched beliefs",Scientific Claim
"Although the dialogues focused on a single conspiracy, they nonetheless diminished belief in unrelated conspiracies and shifted conspiracy-related behavioral intentions.",Scientific Claim
Widespread belief in unsubstantiated or false conspiracy theories is both a major source of public concern and focus of scholarly research.,Scientific Claim
"Conspiracy theories – in which events are understood as being caused by secret, malevolent plots involving powerful conspirators – are often quite implausible, yet a large fraction of the world has come to believe them, including as much as 50% of the US population by past estimates.",Scientific Claim
"Such prevalence is particularly concerning, given that conspiracy belief is often used as a paradigmatic example of resistance to evidence: there is little evidence of interventions that successfully debunk conspiracies among people who already believe them.",Scientific Claim
The apparent resilience of conspiracy theories in the face of clear counter-evidence poses a powerful challenge to scientific theories that emphasize the role of reasoning in belief formation and revision.,Scientific Claim
"Instead, belief in conspiracies has primarily been explained through social-psychological processes thought to blunt rational decision-making and receptivity to evidence.",Not a Scientific Claim
"Popular explanations propose that people adopt conspiracy theories to sate underlying psychic “needs” or motivations, such as the desire for control over one’s environment and experiences, certainty and predictability, security and stability, and uniqueness.",Not a Scientific Claim
"Coupled with peoples’ motivations to maintain their identity and/or group memberships, with which conspiracies also interface, believers may use specific forms of biased information processing (motivated reasoning) where counterevidence is selectively ignored.",Scientific Claim
"Entrenched conspiracy theorists are often quite knowledgeable about their conspiracy of interest, deploying prodigious (albeit often erroneous or misinterpreted) lists of evidence in support of the conspiracy that can leave skeptics outmatched in debates and arguments.",Scientific Claim
"Some methods we endorse are not universally accepted, such as multiple comparison correction.",Not a Scientific Claim
"By richly diagramming our participants’ analyses, we further observe recurring patterns in analysis processes, such as feedback loops and fixations.",Scientific Claim
"In addition, by closely examining specific, published analyses, we identify conflicts between decision rationales and opportunism.",Scientific Claim
"For more comprehensive assessments, researchers have proposed multiverse analysis: evaluating all “reasonable” analysis specifications and interpreting results collectively (where “reasonable” decisions are those with firm theoretical or statistical support).",Not a Scientific Claim
"Judging by the size and color of decision nodes, P1 examined model specification options thoroughly (indicated by the size of the specify model formula node), but she appeared to place less emphasis on inference decisions (indicated by empty nodes in the inference section).",Not a Scientific Claim
"Canned debunking attempts that argue broadly against a given conspiracy theory may, therefore, be ineffective because they fail to address the specific evidence held by the believer – and thus fail to be convincing.",Scientific Claim
"In line with our theorizing around the unique capacities of LLMs for debunking conspiracies, we prompt the AI to use its store of knowledge to try to respond to the specific evidence raised by the participant and reduce the participant’s belief in the conspiracy theory (or, in a control condition, participants converse with AI about an unrelated topic).",Not a Scientific Claim
"We also changed the wording for the conspiracy elicitation prompt such that, instead of directly asking participants which conspiracy theories they believed in, we provided a definition of what a conspiracy theory is and asked participants if they found any such theories compelling.",Not a Scientific Claim
Dialogues with the AI produced a meaningful and enduring shift in beliefs among a meaningful proportion of committed conspiracy believers in our study.,Scientific Claim
Our findings also have practical implications. ,Scientific Claim
We conduct semi-structured interviews with authors of nine published studies in HCI and other scientific domains.,Not a Scientific Claim
"We pore over participants’ manuscripts and analysis scripts to assess their decisions, and ask them to recall, brainstorm, and compare alternatives in every analytic step.",Not a Scientific Claim
"We present a visualization design for representing analytical decisions, both to communicate our interview results and as a tool for mapping future studies. ",Not a Scientific Claim
"Given the HCI community’s demonstrated interest in quantitative empirical research, we hope our findings will help inspire the design of both improved analysis tools and community standards.",Not a Scientific Claim
We interviewed one researcher at a time for 60–90 minutes.,Not a Scientific Claim
"Many workflow management systems also record provenance information, namely the history of execution steps and the environment, such as input data and parameter.",Not a Scientific Claim
"To represent participants’ process and decisions, we created visualizations that we call Analytic Decision Graphs (ADGs).",Not a Scientific Claim
We use a categorical color palette to represent type of decision rationale,Not a Scientific Claim
The size of a node corresponds to the number of enumerated alternatives for the decision point,Not a Scientific Claim
"As comparing unrelated studies is not a design goal of ADGs, care should be taken when interpreting apparent differences between graphs.",Not a Scientific Claim
"To further enhance this tailored approach, we provided the AI with each participant’s written conspiracy rationale as the conversation’s opening message, along with the participant’s initial rating of their belief in the conspiracy.",Not a Scientific Claim
We begin by investigating whether the treatment size varies across the specific focal conspiracy theories articulated by the participants.,Not a Scientific Claim
